Date,Time,,,CSZ System,TEMPERATURE PV,TEMPERATURE SP,TEMPERATURE %Out,PRODUCT PV,PRODUCT SP,PRODUCT %Out,
6/11/2024,18:21:49,,,,14.8,23.0,0.00,0.0,0.0,0.00,
6/11/2024,18:21:55,,,,14.8,23.0,100.00,14.0,23.0,0.00,
6/11/2024,18:22:01,,,,14.8,23.0,100.00,14.1,23.0,0.00,
6/11/2024,18:22:07,,,,14.8,23.0,100.00,14.2,23.0,0.00,
6/11/2024,18:22:13,,,,15.1,23.0,100.00,14.4,23.0,0.00,
6/11/2024,18:22:19,,,,15.3,23.0,100.00,14.7,23.0,0.00,
6/11/2024,18:22:25,,,,15.7,23.0,100.00,14.9,23.0,0.00,
6/11/2024,18:22:31,,,,16.1,23.0,100.00,15.3,23.0,0.00,
6/11/2024,18:22:37,,,,16.8,23.0,100.00,15.7,23.0,0.00,
6/11/2024,18:22:43,,,,17.3,23.0,100.00,16.1,23.0,0.00,
6/11/2024,18:22:49,,,,17.9,23.0,100.00,16.4,23.0,0.00,
6/11/2024,18:22:55,,,,18.8,23.0,86.53,16.2,23.0,0.00,
6/11/2024,18:23:01,,,,19.6,23.0,81.27,16.2,23.0,0.00,
6/11/2024,18:23:07,,,,20.5,23.0,73.11,16.3,23.0,0.00,
6/11/2024,18:23:13,,,,21.3,23.0,73.29,16.6,23.0,0.00,
6/11/2024,18:23:19,,,,22.2,23.0,57.00,17.1,23.0,0.00,
6/11/2024,18:23:25,,,,22.9,23.0,47.97,17.0,23.0,0.00,
6/11/2024,18:23:31,,,,23.7,23.0,50.53,18.1,23.0,0.00,
6/11/2024,18:23:37,,,,24.4,23.0,41.35,19.3,23.0,0.00,
6/11/2024,18:23:43,,,,25.0,23.0,38.56,20.0,23.0,0.00,
6/11/2024,18:23:49,,,,25.7,23.0,41.59,20.6,23.0,0.00,
6/11/2024,18:23:55,,,,26.3,23.0,37.70,21.1,23.0,0.00,
6/11/2024,18:24:01,,,,27.0,23.0,16.16,21.7,23.0,0.00,
6/11/2024,18:24:07,,,,27.6,23.0,17.37,22.1,23.0,0.00,
