Date,Time,,,CSZ System,TEMPERATURE PV,TEMPERATURE SP,TEMPERATURE %Out,PRODUCT PV,PRODUCT SP,PRODUCT %Out,
6/11/2024,18:29:51,,,,22.9,23.0,2.98,21.2,23.0,0.00,
6/11/2024,18:29:57,,,,22.9,23.0,-3.42,21.2,23.0,0.00,
6/11/2024,18:30:03,,,,23.0,23.0,-8.94,21.2,23.0,0.00,
6/11/2024,18:30:09,,,,22.9,23.0,-0.64,21.3,23.0,0.00,
6/11/2024,18:30:15,,,,23.0,23.0,-3.61,21.2,23.0,0.00,
6/11/2024,18:30:21,,,,22.8,23.0,9.83,21.2,23.0,0.00,
6/11/2024,18:30:27,,,,22.7,23.0,7.21,21.2,23.0,0.00,
6/11/2024,18:30:33,,,,22.8,23.0,0.61,21.2,23.0,0.00,
6/11/2024,18:30:39,,,,22.8,23.0,2.60,21.2,23.0,0.00,
6/11/2024,18:30:45,,,,22.9,23.0,8.44,21.3,23.0,0.00,
6/11/2024,18:30:51,,,,22.9,23.0,-2.24,21.3,23.0,0.00,
6/11/2024,18:30:57,,,,22.9,23.0,3.09,21.4,23.0,0.00,
6/11/2024,18:31:03,,,,22.9,23.0,2.47,21.4,23.0,0.00,
6/11/2024,18:31:09,,,,23.0,23.0,2.79,21.4,23.0,0.00,
6/11/2024,18:31:15,,,,23.0,23.0,9.83,21.4,23.0,0.00,
6/11/2024,18:31:21,,,,23.0,23.0,0.97,21.4,23.0,0.00,
6/11/2024,18:31:27,,,,23.1,23.0,4.43,21.4,23.0,0.00,
6/11/2024,18:31:33,,,,23.1,23.0,-4.41,21.4,23.0,0.00,
6/11/2024,18:31:39,,,,23.1,23.0,6.17,21.4,23.0,0.00,
6/11/2024,18:31:45,,,,23.1,23.0,4.73,21.4,23.0,0.00,
6/11/2024,18:31:51,,,,23.0,23.0,6.06,21.4,23.0,0.00,
6/11/2024,18:31:57,,,,23.0,23.0,3.45,21.4,23.0,0.00,
6/11/2024,18:32:03,,,,23.1,23.0,-0.28,21.5,23.0,0.00,
6/11/2024,18:32:09,,,,23.0,23.0,0.31,21.5,23.0,0.00,
6/11/2024,18:32:15,,,,23.1,23.0,1.31,21.6,23.0,0.00,
6/11/2024,18:32:21,,,,23.0,23.0,8.97,21.5,23.0,0.00,
6/11/2024,18:32:27,,,,22.9,23.0,1.74,21.4,23.0,0.00,
6/11/2024,18:32:33,,,,22.8,23.0,1.92,21.5,23.0,0.00,
6/11/2024,18:32:39,,,,22.9,23.0,8.81,21.5,23.0,0.00,
6/11/2024,18:32:45,,,,22.9,23.0,5.41,21.5,23.0,0.00,
6/11/2024,18:32:51,,,,22.9,23.0,-0.52,21.6,23.0,0.00,
6/11/2024,18:32:57,,,,22.9,23.0,-4.36,21.6,23.0,0.00,
6/11/2024,18:33:03,,,,22.8,23.0,8.76,21.5,23.0,0.00,
6/11/2024,18:33:09,,,,22.8,23.0,2.94,21.4,23.0,0.00,
6/11/2024,18:33:15,,,,22.7,23.0,8.90,21.4,23.0,0.00,
6/11/2024,18:33:21,,,,22.7,23.0,8.66,21.5,23.0,0.00,
6/11/2024,18:33:27,,,,22.7,23.0,11.21,21.5,23.0,0.00,
6/11/2024,18:33:33,,,,22.7,23.0,0.58,21.6,23.0,0.00,
6/11/2024,18:33:39,,,,22.7,23.0,6.51,21.6,23.0,0.00,
6/11/2024,18:33:45,,,,22.8,23.0,2.25,21.7,23.0,0.00,
6/11/2024,18:33:51,,,,22.9,23.0,6.29,21.6,23.0,0.00,
6/11/2024,18:33:57,,,,22.8,23.0,4.75,21.6,23.0,0.00,
6/11/2024,18:34:03,,,,22.8,23.0,5.02,21.7,23.0,0.00,
6/11/2024,18:34:09,,,,22.8,23.0,5.74,21.7,23.0,0.00,
6/11/2024,18:34:15,,,,22.9,23.0,3.58,21.8,23.0,0.00,
6/11/2024,18:34:21,,,,22.9,23.0,3.70,21.8,23.0,0.00,
6/11/2024,18:34:27,,,,23.1,23.0,3.43,21.8,23.0,0.00,
6/11/2024,18:34:33,,,,23.1,23.0,3.21,21.8,23.0,0.00,
6/11/2024,18:34:39,,,,23.1,23.0,3.23,21.8,23.0,0.00,
6/11/2024,18:34:45,,,,23.1,23.0,3.90,21.8,23.0,0.00,
6/11/2024,18:34:51,,,,23.1,23.0,3.18,21.9,23.0,0.00,
6/11/2024,18:34:57,,,,23.1,23.0,-3.49,21.9,23.0,0.00,
6/11/2024,18:35:03,,,,23.2,23.0,-3.23,21.9,23.0,0.00,
6/11/2024,18:35:09,,,,23.2,23.0,-1.31,21.9,23.0,0.00,
6/11/2024,18:35:15,,,,23.1,23.0,9.81,21.8,23.0,0.00,
6/11/2024,18:35:21,,,,23.0,23.0,9.59,21.8,23.0,0.00,
6/11/2024,18:35:27,,,,22.9,23.0,1.94,21.8,23.0,0.00,
6/11/2024,18:35:33,,,,22.9,23.0,5.56,21.9,23.0,0.00,
6/11/2024,18:35:39,,,,23.0,23.0,3.60,21.9,23.0,0.00,
6/11/2024,18:35:45,,,,23.1,23.0,-5.65,21.9,23.0,0.00,
6/11/2024,18:35:51,,,,23.1,23.0,1.17,21.9,23.0,0.00,
6/11/2024,18:35:57,,,,23.0,23.0,6.55,21.8,23.0,0.00,
6/11/2024,18:36:03,,,,22.9,23.0,5.60,21.9,23.0,0.00,
6/11/2024,18:36:09,,,,22.9,23.0,7.09,21.8,23.0,0.00,
6/11/2024,18:36:15,,,,22.9,23.0,9.63,21.9,23.0,0.00,
6/11/2024,18:36:21,,,,22.9,23.0,-0.60,21.9,23.0,0.00,
6/11/2024,18:36:27,,,,23.1,23.0,-6.25,22.0,23.0,0.00,
6/11/2024,18:36:33,,,,23.1,23.0,0.62,22.0,23.0,0.00,
6/11/2024,18:36:39,,,,23.1,23.0,-0.46,22.1,23.0,0.00,
6/11/2024,18:36:45,,,,23.2,23.0,-2.21,22.1,23.0,0.00,
6/11/2024,18:36:51,,,,23.1,23.0,1.82,22.0,23.0,0.00,
6/11/2024,18:36:57,,,,23.2,23.0,2.84,22.1,23.0,0.00,
6/11/2024,18:37:03,,,,23.1,23.0,2.42,22.1,23.0,0.00,
6/11/2024,18:37:09,,,,23.1,23.0,4.61,22.1,23.0,0.00,
6/11/2024,18:37:15,,,,23.1,23.0,3.05,22.1,23.0,0.00,
6/11/2024,18:37:21,,,,23.1,23.0,0.90,22.1,23.0,0.00,
6/11/2024,18:37:27,,,,23.0,23.0,5.34,22.1,23.0,0.00,
6/11/2024,18:37:33,,,,23.1,23.0,0.43,22.1,23.0,0.00,
6/11/2024,18:37:39,,,,23.1,23.0,-6.41,22.1,23.0,0.00,
6/11/2024,18:37:45,,,,23.1,23.0,3.71,22.1,23.0,0.00,
6/11/2024,18:37:51,,,,23.1,23.0,6.11,22.1,23.0,0.00,
6/11/2024,18:37:57,,,,23.0,23.0,3.11,22.1,23.0,0.00,
6/11/2024,18:38:03,,,,23.0,23.0,5.11,22.1,23.0,0.00,
6/11/2024,18:38:09,,,,23.0,23.0,8.00,22.1,23.0,0.00,
6/11/2024,18:38:15,,,,23.1,23.0,2.28,22.2,23.0,0.00,
6/11/2024,18:38:21,,,,23.1,23.0,2.66,22.2,23.0,0.00,
6/11/2024,18:38:27,,,,23.1,23.0,7.52,22.2,23.0,0.00,
6/11/2024,18:38:33,,,,23.1,23.0,3.20,22.2,23.0,0.00,
6/11/2024,18:38:39,,,,23.1,23.0,1.53,22.2,23.0,0.00,
6/11/2024,18:38:45,,,,23.1,23.0,1.60,22.1,23.0,0.00,
6/11/2024,18:38:51,,,,23.1,23.0,-0.53,22.2,23.0,0.00,
6/11/2024,18:38:57,,,,23.1,23.0,2.04,22.2,23.0,0.00,
6/11/2024,18:39:03,,,,23.1,23.0,3.90,22.2,23.0,0.00,
6/11/2024,18:39:09,,,,23.1,23.0,3.60,22.2,23.0,0.00,
6/11/2024,18:39:15,,,,23.1,23.0,-1.14,22.1,23.0,0.00,
6/11/2024,18:39:21,,,,23.1,23.0,1.57,22.2,23.0,0.00,
6/11/2024,18:39:27,,,,23.0,23.0,4.73,22.2,23.0,0.00,
6/11/2024,18:39:33,,,,23.0,23.0,0.96,22.2,23.0,0.00,
6/11/2024,18:39:39,,,,23.1,23.0,5.35,22.2,23.0,0.00,
6/11/2024,18:39:45,,,,23.1,23.0,1.99,22.2,23.0,0.00,
6/11/2024,18:39:51,,,,23.1,23.0,3.93,22.2,23.0,0.00,
6/11/2024,18:39:57,,,,23.1,23.0,7.01,22.2,23.0,0.00,
6/11/2024,18:40:03,,,,23.0,23.0,5.10,22.2,23.0,0.00,
6/11/2024,18:40:09,,,,23.1,23.0,0.67,22.2,23.0,0.00,
6/11/2024,18:40:15,,,,23.1,23.0,1.37,22.3,23.0,0.00,
6/11/2024,18:40:21,,,,23.1,23.0,-1.11,22.3,23.0,0.00,
6/11/2024,18:40:27,,,,23.2,23.0,1.76,22.3,23.0,0.00,
6/11/2024,18:40:33,,,,23.1,23.0,5.81,22.3,23.0,0.00,
6/11/2024,18:40:39,,,,23.1,23.0,-2.21,22.3,23.0,0.00,
6/11/2024,18:40:45,,,,23.1,23.0,0.95,22.3,23.0,0.00,
6/11/2024,18:40:51,,,,23.1,23.0,2.60,22.2,23.0,0.00,
6/11/2024,18:40:57,,,,23.1,23.0,0.74,22.2,23.0,0.00,
6/11/2024,18:41:03,,,,23.1,23.0,1.49,22.2,23.0,0.00,
6/11/2024,18:41:09,,,,23.1,23.0,3.60,22.2,23.0,0.00,
6/11/2024,18:41:15,,,,23.1,23.0,6.13,22.3,23.0,0.00,
6/11/2024,18:41:21,,,,22.9,23.0,2.01,22.2,23.0,0.00,
6/11/2024,18:41:27,,,,22.9,23.0,5.13,22.2,23.0,0.00,
6/11/2024,18:41:33,,,,22.8,23.0,0.36,22.1,23.0,0.00,
6/11/2024,18:41:39,,,,22.8,23.0,8.91,22.2,23.0,0.00,
6/11/2024,18:41:45,,,,22.9,23.0,2.60,22.2,23.0,0.00,
6/11/2024,18:41:51,,,,22.9,23.0,5.04,22.2,23.0,0.00,
6/11/2024,18:41:57,,,,22.9,23.0,-3.10,22.2,23.0,0.00,
6/11/2024,18:42:03,,,,22.9,23.0,3.98,22.2,23.0,0.00,
6/11/2024,18:42:09,,,,23.0,23.0,2.72,22.2,23.0,0.00,
6/11/2024,18:42:15,,,,23.1,23.0,-1.51,22.3,23.0,0.00,
6/11/2024,18:42:21,,,,22.9,23.0,7.11,22.2,23.0,0.00,
6/11/2024,18:42:27,,,,22.9,23.0,8.27,22.2,23.0,0.00,
6/11/2024,18:42:33,,,,22.9,23.0,7.34,22.2,23.0,0.00,
6/11/2024,18:42:39,,,,22.9,23.0,4.69,22.2,23.0,0.00,
6/11/2024,18:42:45,,,,22.9,23.0,3.00,22.3,23.0,0.00,
6/11/2024,18:42:51,,,,22.9,23.0,2.20,22.2,23.0,0.00,
6/11/2024,18:42:57,,,,22.9,23.0,-4.00,22.3,23.0,0.00,
6/11/2024,18:43:03,,,,23.0,23.0,-1.21,22.3,23.0,0.00,
