Current, Voltage, Capacity, Cumulative_capacity, Seconds, Test_State, SOC
-0.844906,2.95021,0,0,07/16/2024 23:35:30.587421400,1,-1
-0.778523,2.9502,-0.234336,-0.234336,07/16/2024 23:35:31.671021760,1,-1.0108
-0.756801,2.9502,-0.227784,-0.46212,07/16/2024 23:35:32.754561760,1,-1.02131
-0.739703,2.9502,-0.222638,-0.684758,07/16/2024 23:35:33.838099720,1,-1.03157
-0.724767,2.95019,-0.21815,-0.902908,07/16/2024 23:35:34.921677560,1,-1.04163
-0.711225,2.95019,-0.214065,-1.11697,07/16/2024 23:35:36.005208440,1,-1.0515
-0.698704,2.95019,-0.210299,-1.32727,07/16/2024 23:35:37.088751980,1,-1.06119
-0.686792,2.95019,-0.206714,-1.53399,07/16/2024 23:35:38.172296200,1,-1.07072
-0.675562,2.95019,-0.203334,-1.73732,07/16/2024 23:35:39.255843520,1,-1.0801
-0.664795,2.95019,-0.200089,-1.93741,07/16/2024 23:35:40.339365240,1,-1.08932
-0.654472,2.95019,-0.196988,-2.1344,07/16/2024 23:35:41.422919180,1,-1.0984
-0.64452,2.95019,-0.193987,-2.32838,07/16/2024 23:35:42.506441280,1,-1.10735
-0.634913,2.95019,-0.191102,-2.51949,07/16/2024 23:35:43.590003320,1,-1.11616
-0.62558,2.95019,-0.188291,-2.70778,07/16/2024 23:35:44.673554260,1,-1.12484
-0.616482,2.95019,-0.185549,-2.89333,07/16/2024 23:35:45.757084440,1,-1.13339
-0.607669,2.95019,-0.182899,-3.07623,07/16/2024 23:35:46.840632340,1,-1.14183
-0.599088,2.95018,-0.180312,-3.25654,07/16/2024 23:35:47.924148280,1,-1.15014
-0.590658,2.95019,-0.17778,-3.43432,07/16/2024 23:35:49.007697140,1,-1.15834
-0.582457,2.95018,-0.175308,-3.60962,07/16/2024 23:35:50.091225100,1,-1.16642
-0.574434,2.95019,-0.172894,-3.78252,07/16/2024 23:35:51.174757220,1,-1.17439
-0.566636,2.95019,-0.170546,-3.95306,07/16/2024 23:35:52.258286360,1,-1.18225
-0.5589,2.95019,-0.168224,-4.12129,07/16/2024 23:35:53.341855820,1,-1.19001
-0.551344,2.95018,-0.165943,-4.28723,07/16/2024 23:35:54.425382960,1,-1.19766
-0.543968,2.95019,-0.163729,-4.45096,07/16/2024 23:35:55.508949800,1,-1.20521
-0.536703,2.95019,-0.161549,-4.61251,07/16/2024 23:35:56.592559540,1,-1.21266
-0.529585,2.95018,-0.159395,-4.77191,07/16/2024 23:35:57.676090460,1,-1.22
-0.522623,2.95018,-0.1573,-4.92921,07/16/2024 23:35:58.759624420,1,-1.22726
-0.515724,2.95018,-0.155222,-5.08443,07/16/2024 23:35:59.843146120,1,-1.23441
-0.508937,2.95018,-0.153178,-5.2376,07/16/2024 23:36:00.926662420,1,-1.24148
-0.502271,2.95018,-0.151175,-5.38878,07/16/2024 23:36:02.010201720,1,-1.24845
-9.99854e-05,3.08246,0,0,07/16/2024 23:36:07.481494560,2,0
-9.99856e-05,3.08334,-3.00947e-05,-3.00947e-05,07/16/2024 23:36:08.565060780,2,-1.38749e-06
-9.99855e-05,3.0841,-3.0094e-05,-6.01887e-05,07/16/2024 23:36:09.648602700,2,-2.77495e-06
-9.99856e-05,3.08477,-3.00945e-05,-9.02832e-05,07/16/2024 23:36:10.732160940,2,-4.16244e-06
-9.99856e-05,3.08536,-3.00944e-05,-0.000120378,07/16/2024 23:36:11.815714460,2,-5.54991e-06
-9.99855e-05,3.0859,-3.00941e-05,-0.000150472,07/16/2024 23:36:12.899257960,2,-6.93738e-06
-9.99855e-05,3.08639,-3.00957e-05,-0.000180567,07/16/2024 23:36:13.982858860,2,-8.32491e-06
-9.99856e-05,3.08684,-3.00942e-05,-0.000210662,07/16/2024 23:36:15.066408140,2,-9.71238e-06
-9.99856e-05,3.08725,-3.00942e-05,-0.000240756,07/16/2024 23:36:16.149957100,2,-1.10999e-05
