Date,Time,,,CSZ System,TEMPERATURE PV,TEMPERATURE SP,TEMPERATURE %Out,PRODUCT PV,PRODUCT SP,PRODUCT %Out,
6/27/2024,00:54:49,,,,24.8,25.0,10.14,24.7,25.0,0.00,
6/27/2024,00:54:55,,,,24.9,25.0,0.95,24.7,25.0,0.00,
6/27/2024,00:55:01,,,,24.9,25.0,-0.39,24.8,25.0,0.00,
6/27/2024,00:55:07,,,,24.9,25.0,-1.61,24.8,25.0,0.00,
6/27/2024,00:55:13,,,,25.0,25.0,7.17,24.8,25.0,0.00,
6/27/2024,00:55:19,,,,24.9,45.0,100.00,24.7,45.0,0.00,
6/27/2024,00:55:25,,,,24.9,45.0,100.00,24.8,45.0,0.00,
6/27/2024,00:55:31,,,,25.1,45.0,100.00,24.9,45.0,0.00,
6/27/2024,00:55:37,,,,25.2,45.0,100.00,25.1,45.0,0.00,
6/27/2024,00:55:43,,,,25.6,45.0,100.00,25.4,45.0,0.00,
6/27/2024,00:55:49,,,,25.9,45.0,100.00,25.7,45.0,0.00,
6/27/2024,00:55:55,,,,26.6,45.0,100.00,26.1,45.0,0.00,
6/27/2024,00:56:01,,,,27.2,45.0,100.00,26.6,45.0,0.00,
6/27/2024,00:56:07,,,,27.9,45.0,100.00,27.1,45.0,0.00,
6/27/2024,00:56:13,,,,28.8,45.0,100.00,27.6,45.0,0.00,
6/27/2024,00:56:19,,,,29.7,45.0,100.00,28.2,45.0,0.00,
6/27/2024,00:56:25,,,,30.5,45.0,97.19,28.7,45.0,0.00,
6/27/2024,00:56:31,,,,31.5,45.0,81.44,29.2,45.0,0.00,
6/27/2024,00:56:37,,,,32.4,45.0,75.01,29.9,45.0,0.00,
6/27/2024,00:56:43,,,,33.3,45.0,74.86,30.4,45.0,0.00,
6/27/2024,00:56:49,,,,34.4,45.0,66.25,31.1,45.0,0.00,
6/27/2024,00:56:55,,,,35.4,45.0,53.60,31.5,45.0,0.00,
6/27/2024,00:57:01,,,,36.1,45.0,67.26,32.0,45.0,0.00,
6/27/2024,00:57:07,,,,37.1,45.0,35.16,32.5,45.0,0.00,
6/27/2024,00:57:13,,,,38.0,45.0,31.84,33.0,45.0,0.00,
6/27/2024,00:57:19,,,,38.7,45.0,35.75,33.5,45.0,0.00,
6/27/2024,00:57:25,,,,39.5,45.0,28.77,33.9,45.0,0.00,
6/27/2024,00:57:31,,,,40.2,45.0,24.61,34.4,45.0,0.00,
6/27/2024,00:57:37,,,,40.8,45.0,23.67,34.6,45.0,0.00,
6/27/2024,00:57:43,,,,41.4,45.0,16.01,35.0,45.0,0.00,
6/27/2024,00:57:49,,,,41.9,45.0,24.85,35.3,45.0,0.00,
6/27/2024,00:57:55,,,,42.3,45.0,23.93,35.6,45.0,0.00,
6/27/2024,00:58:01,,,,42.7,45.0,22.26,35.8,45.0,0.00,
6/27/2024,00:58:07,,,,43.1,45.0,16.23,36.1,45.0,0.00,
6/27/2024,00:58:13,,,,43.4,45.0,17.22,36.4,45.0,0.00,
6/27/2024,00:58:19,,,,43.7,45.0,20.28,36.7,45.0,0.00,
6/27/2024,00:58:25,,,,43.9,45.0,20.18,36.9,45.0,0.00,
6/27/2024,00:58:31,,,,44.2,45.0,21.68,37.2,45.0,0.00,
6/27/2024,00:58:37,,,,44.4,45.0,24.94,37.4,45.0,0.00,
6/27/2024,00:58:43,,,,44.6,45.0,20.82,37.4,45.0,0.00,
6/27/2024,00:58:49,,,,44.8,45.0,21.97,37.7,45.0,0.00,
6/27/2024,00:58:55,,,,44.9,45.0,19.54,37.9,45.0,0.00,
6/27/2024,00:59:01,,,,45.1,45.0,18.69,38.0,45.0,0.00,
6/27/2024,00:59:07,,,,45.2,45.0,17.80,38.2,45.0,0.00,
