eta
9.961523950251769399e-01
9.962229536845770284e-01
9.965265236788131142e-01
9.966795653345086325e-01
9.972247744345623666e-01
9.979417349674907234e-01
9.980557993332064282e-01
9.982007145888309729e-01
9.984096755381142163e-01
9.984774793624744404e-01
9.985339300199452817e-01
9.986142430548543558e-01
9.986864773444316112e-01
9.987014439315047287e-01
9.989562707470328595e-01
9.991064905185186307e-01
9.991228210302989243e-01
9.991958569277800128e-01
9.992540908322093962e-01
9.993327163468962437e-01
9.993778401608971462e-01
9.994723839164070256e-01
9.994733920535036065e-01
9.995413889080778658e-01
9.995540891453909005e-01
9.995563824498249206e-01
9.995644891374222407e-01
9.995915819762867249e-01
9.996021880803868109e-01
9.996233898201027923e-01
9.996278898888908415e-01
9.996403461727094708e-01
9.996410426058468524e-01
9.996439053538249686e-01
9.996489363180612875e-01
9.996672725247131019e-01
9.996736986586549634e-01
9.996821446405248501e-01
9.996991537531368932e-01
9.997066409891894878e-01
9.997200468530043072e-01
9.997228283704980845e-01
9.997237034854444815e-01
9.997257275294191281e-01
9.997317577869139216e-01
9.997341077261577835e-01
9.997380675547042905e-01
9.997391509354449646e-01
9.997454561285656904e-01
9.997514569244471128e-01
9.997522939900856942e-01
9.997528995090799731e-01
9.997569356836470966e-01
9.997614086278833190e-01
9.997677386839356473e-01
9.997707547076460921e-01
9.997802882236717092e-01
9.997831497492171149e-01
9.997876482862388947e-01
9.997887441541977172e-01
9.997924074258542904e-01
9.997985619302381943e-01
9.998030130717485697e-01
9.998030715165424631e-01
9.998194182838301414e-01
9.998259959028169552e-01
9.998323756845391985e-01
9.998329408204721380e-01
9.998352576565953109e-01
9.998358474191213485e-01
9.998363436528103776e-01
9.998410607138652484e-01
9.998462556441541915e-01
9.998499396259145078e-01
9.998550001140602550e-01
9.998620377666678216e-01
9.998637246581276727e-01
9.998661592905000450e-01
9.998676285169048050e-01
9.998760968068447497e-01
9.998882902472199241e-01
9.999073710467428766e-01
9.999145501353606802e-01
9.999338417086558461e-01
9.999934761617368384e-01
1.000002746888640992e+00
1.000030294823991417e+00
1.000113027309761593e+00
1.000221756008019769e+00
